id	pub_date	position	address	education	salary	company	rate	duration
13394	2022-04-20	开发岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13395	2022-03-06	其他_0	北京	学历不限	13.5	字节跳动	0.99	64
13396	2022-03-15	数据岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13397	2022-03-18	其他_0	北京/上海/广州/深圳/杭州/成都	本科	7.5	网易有道	0.99	8
13398	2022-05-24	开发岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13399	2022-03-24	运营岗_0	北京/成都/上海/深圳	本科	4.5	美团	0.99	1
13400	2022-05-09	数据岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13401	2022-04-08	算法岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13402	2022-05-09	数据岗_0	上海/北京/广州/深圳/杭州/成都	本科	7.7	Shopee	0.99	8
13403	2022-03-10	数据岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13404	2022-04-20	开发岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13405	2022-05-15	开发岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13406	2022-03-15	开发岗_0	上海	本科	7.1	又为智能	0.5	7
13407	2022-03-05	运营岗_0	上海	本科	4.5	上海科通实业有限公司	0.99	1
13408	2022-03-19	开发岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13409	2022-04-09	算法岗_0	北京	学历不限	13.5	字节跳动	0.99	64
13410	2022-03-23	开发岗_0	北京/上海/厦门	本科	4.5	美团	0.99	1
13411	2022-04-12	工程师_0	北京/上海	本科	4.5	美团	0.99	1
13412	2022-03-30	开发岗_0	北京	本科	7.5	滴滴	0.91	7
13413	2022-05-14	算法岗_0	北京/深圳	本科	4.5	美团	0.99	1
13414	2022-04-07	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆	本科	13.5	字节跳动	0.72	1
13415	2022-03-21	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆	本科	13.5	字节跳动	0.72	1
13416	2022-05-10	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13417	2022-03-20	其他_0	北京/上海/广州/深圳/杭州/成都	本科	8.0	网易有道	0.99	8
13418	2022-03-30	算法岗_0	北京/深圳	本科	4.5	美团	0.99	1
13419	2022-04-10	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13420	2022-04-07	数据岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13421	2022-03-05	数据岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13422	2022-04-08	其他_0	上海/北京/广州/深圳/杭州/成都	本科	7.4	Shopee	0.99	8
13423	2022-04-06	开发岗_0	北京/深圳/上海/成都/厦门	本科	4.5	美团	0.99	1
13424	2022-03-23	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13425	2022-04-10	工程师_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13426	2022-05-10	开发岗_0	上海	本科	7.1	又为智能	0.5	7
13427	2022-03-24	其他_0	上海	本科	4.5	上海科通实业有限公司	0.99	1
