类型,商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
生鲜,【尚巧厨】沪乐蛋挞原料套装蛋挞皮60个+展艺芝士碎100g/包+炼乳D,26.8,30.00%,8.04,已售：1875,结束：2023-10-31,3,32,尚巧厨卖场旗舰店,4.99,4.93,4.99,2023-04-18 21:55:10.913
生鲜,【佬味到甜品】潮汕特色甜品加热即食营养代餐 150g/碗,78,18.00%,14.04,已售：56,结束：2024-03-31,2,,佬味到生鲜旗舰店,4.79,4.98,4.91,2023-04-18 21:55:11.026
生鲜,中号5斤临安天目山板栗小小香薯新鲜红薯番薯地瓜黄心薯山芋辅食,27.9,16.00%,4.46,已售：62,结束：2024-05-31,,,禾悦生鲜专营店,4.85,4.74,4.71,2023-04-18 21:55:11.116
生鲜,【旗舰店】林家铺子冰糖什锦儿童水果罐头200g*8/16罐 自选 香甜 ,36.9,20.00%,7.38,已售：4.2万,结束：2023-12-31,3,36,林家鋪子官方旗舰店,4.93,4.56,4.65,2023-04-18 21:55:11.197
生鲜,马来西亚进口液氮冷冻老树巴掌榴莲 顺丰包邮,349,10.00%,34.9,已售：612,结束：2023-06-01,,,葉栳的老树猫山王榴莲,4.38,3.97,4.35,2023-04-18 21:55:11.283
生鲜,优形 就是嫩鸡排10袋组合装 XP共1000g鸡排煎速食冷冻橄榄油鸡排,79.9,25.00%,19.98,已售：14,结束：2024-02-29,,,优形官方旗舰店,4.99,4.95,4.94,2023-04-18 21:55:11.367
生鲜,北纬45°寒地鲜食黑糯玉米200g/穗 0添加  真空锁鲜 8穗 香甜饱满,29.9,15.00%,4.48,已售：5554,结束：2024-04-30,,,寻禾记,4.6,4.65,4.14,2023-04-18 21:55:11.470
生鲜,麦香逢【三斤】荞麦黑全麦卷饼多种口味低脂无加蔗糖粗粮代餐500g,12.9,31.00%,4,已售：206,结束：2023-12-31,21,66,麦香逢旗舰店,4.99,4.6,4.89,2023-04-18 21:55:11.572
生鲜,正宗潼关肉夹馍生饼胚100g*20个速冻方便面食烧饼,29.8,22.00%,6.56,已售：2.2万,结束：2023-12-31,39,,潼十三,4.9,4.82,4.56,2023-04-18 21:55:11.665
生鲜,正大炫彩芝士爆浆鸡排480g*2袋到手12片保质期到23年5月介意勿拍 ,59.8,20.00%,11.96,已售：2894,结束：2023-06-30,1,20,正大官方旗舰店,4.99,4.97,4.96,2023-04-18 21:55:11.775
生鲜,【顺丰冷链】五芳斋汤圆黑芝麻多口味元宵甜品速冻点心花生馅香甜,39.9,13.00%,5.19,已售：524,结束：2023-05-31,10,51,五芳斋官方旗舰店,4.85,4.98,4.99,2023-04-18 21:55:11.882
生鲜,CHANGSHENGHE/常升和爆汁蔬菜膳食肠香肠食用鲜嫩营养,29.9,20.00%,5.98,已售：1501,结束：2023-08-31,1,39,常升和生鲜旗舰店,4.88,4.79,4.73,2023-04-18 21:55:11.982
生鲜,饮力健芝士味青团小丸子500g馅料包心冷冻芋圆快煮珍珠奶茶店小料,15.8,13.00%,2.05,已售：274,结束：2024-05-31,,,苏州饮力健食品,4.81,4.86,4.48,2023-04-18 21:55:12.091
生鲜,玖润肉小哥爆浆鸡腿卷 5支500g台湾风味鲜嫩爆汁纯鸡肉无淀粉油炸,24.9,22.00%,5.48,已售：9498,结束：2024-05-31,15,47,玄月轩,4.41,4.62,4.71,2023-04-18 21:55:12.203
生鲜,【副】高粱糍粑独立装手工糍粑年糕湖北黄豆粉半成品制作简单拉丝,13.8,45.00%,6.21,已售：56,结束：2023-04-30,,,森庄农品旗舰店,4.98,4.43,4.64,2023-04-18 21:55:12.315
生鲜,新人【39元10包】霞浦压缩家常海带丝高倍泡发鲜嫩脆爽免洗16g/包,29,42.00%,12.18,已售：28,结束：2025-12-31,,,小陈菇事优选店,4.9,4.98,4.53,2023-04-18 21:55:12.426
生鲜,新鲜半只羊正宗内蒙散养羔羊肉10斤半羊套餐烤羊腿羊排分割全羊子,121.48,10.00%,12.15,已售：40,结束：2024-03-01,,,集鲜岛生鲜,4.32,4.95,4.37,2023-04-18 21:55:12.545
生鲜,海蓝厨房胡椒猪肚鸡火锅套餐熟冻醇厚浓香汤包海南文昌小母鸡1只,148,20.00%,29.6,已售：397,结束：2023-06-30,3,8,海蓝厨房生鲜旗舰店,4.93,4.96,4.97,2023-04-18 21:55:12.675
生鲜,【粉丝专享】网易严选 劲爆脆嫩下饭脆爽 魔芋脆笋,19.9,20.00%,3.98,已售：4937,结束：2023-10-01,17,62,网易严选官方旗舰店,4.85,4.97,4.97,2023-04-18 21:55:12.796
生鲜,推荐正宗潮州农家特产东凤新鲜鸡头米500g1包 两斤顺丰冷链包邮,93,15.00%,13.95,已售：1000,结束：2023-08-31,,,潮州山哥食品店,4.93,4.11,4.94,2023-04-18 21:55:12.917
生鲜,湾仔码头300g彩皮小笼包*2+水晶虾皇饺*2港式早餐组合经典,69.9,20.00%,13.98,已售：46,结束：2023-06-30,3,18,湾仔码头官方旗舰店,4.99,4.93,4.97,2023-04-18 21:55:13.039
生鲜,忠橙大果伦晚脐橙10斤装新鲜橙子大果应当季水果手剥冰糖甜橙忠橙,29.9,15.00%,4.48,已售：54,结束：2023-05-31,,,忠橙生鲜旗舰店,4.75,4.56,4.29,2023-04-18 21:55:13.158
生鲜,【无添加】宁波老字号三雪红豆酒酿圆子300g/桂花核桃羹267g,59.9,20.00%,11.98,已售：4559,结束：2023-11-01,5,19,三雪食品旗舰店,4.8,4.49,4.95,2023-04-18 21:55:13.264
生鲜,山东水果黄瓜5斤新鲜小青瓜生吃即食时令荷兰蔬菜,23.9,20.00%,4.78,已售：51,结束：2024-07-31,,,鲜屯屯生鲜旗舰店,4.99,4.79,3.34,2023-04-18 21:55:13.378
生鲜,享食X有面儿享食手抓饼家庭酥脆儿童早餐速食半成品方便懒人速食,26.8,20.00%,5.36,已售：62,结束：2024-03-01,,,享食生鲜旗舰店,4.87,4.98,4.93,2023-04-18 21:55:13.472
生鲜,麻糍传统农家手工制作浙江特产糯米糍粑黑芝麻馅560克软糯正宗,21.8,12.00%,2.62,已售：4.5万,结束：2023-07-31,12,84,吴先森专营店,4.74,4.97,4.87,2023-04-18 21:55:13.570
生鲜,【精武】多口味整根手撕鸡脖40g*10根 卤制休闲零食小智真空包装,19.9,15.00%,2.98,已售：2537,结束：2023-11-30,21,75,精武官方旗舰店,4.7,4.98,4.98,2023-04-18 21:55:13.665
生鲜,思念【直播专享】480g金牌虾水饺3包速食水饺 一只水饺一只虾冷冻,109,20.00%,21.8,已售：277,结束：2023-06-30,2,12,思念速食旗舰店,4.93,4.88,4.99,2023-04-18 21:55:13.772
生鲜,白老三汆丸子 非遗产品 纯猪肉丸  精选猪肉 无淀粉 无防腐,48,18.00%,8.64,已售：3272,结束：2023-11-30,,,白老三汆丸子旗舰店,4.77,4.89,4.74,2023-04-18 21:55:13.875
生鲜,农一整颗泡菜1kg辣白菜咸菜下饭菜香酱小开胃腌配拌饭即食爽口,28.8,20.00%,5.76,已售：1827,结束：2023-10-31,10,41,食探食品专营店,4.97,4.68,4.68,2023-04-18 21:55:13.978
生鲜,胡家凤爪胡峻牌酸辣凤爪网红零食小吃同款鸡爪罐装新鲜,38,20.00%,7.6,已售：134,结束：2023-09-30,,,胡家凤爪,4.7,4.21,4.76,2023-04-18 21:55:14.090
生鲜,素亿家水饺年定装每月七袋精品饺子 荠菜 长寿菜酸菜红椒白菜豆腐,1279.9,10.00%,127.99,已售：102,结束：2023-04-30,,,素亿家生鲜旗舰店,4.96,4.78,4.88,2023-04-18 21:55:14.190
生鲜,正宗海阳白玉小黄瓜新鲜特产水果黄瓜应季生吃蔬菜2斤装批发包邮,20.29,20.00%,4.06,已售：201,结束：2023-05-31,9,55,百鲜惠生鲜,4.42,4.7,4.57,2023-04-18 21:55:14.307
生鲜,【湾仔码头】超值10包组合300g水饺*7+200g汤圆*2赠80g海鲜饺*1,99,16.00%,15.84,已售：301,结束：2023-05-31,5,15,湾仔码头官方旗舰店,4.99,4.93,4.97,2023-04-18 21:55:14.427
生鲜,【金装牛肉丸】手打正宗潮汕牛肉丸新鲜筋道爆汁烧烤【送粿条蒜酥,89.9,35.00%,31.46,已售：21,结束：2026-04-11,,,汕头市潮栩牛肉丸食品商行,4.98,4.98,4.96,2023-04-18 21:55:14.536
生鲜,湾仔码头爆款甜品 黑芝麻水晶汤圆/黑芝麻香糯汤圆元宵节团团圆圆,59.9,20.00%,11.98,已售：693,结束：2023-07-31,5,18,湾仔码头官方旗舰店,4.99,4.93,4.97,2023-04-18 21:55:14.659
生鲜,【粉丝补贴】大湖招牌菜剁椒鱼头698g/盒 5包料 活鱼现杀,89.9,20.00%,17.98,已售：7343,结束：2023-10-05,,,大湖旗舰店,4.94,4.77,4.89,2023-04-18 21:55:14.776
生鲜,【顺尔嘉】日式唐扬鸡块500g*1包爆汁盐酥鸡米花250g*2包双拼组合,44.9,20.00%,8.98,已售：4916,结束：2023-07-20,3,28,顺尔嘉生鲜旗舰店,4.94,4.99,4.95,2023-04-18 21:55:14.896
生鲜,【直播专享】私享草原 牛小排原汤火锅 加热即食 酱香微辣1200g,89,20.00%,17.8,已售：148,结束：2023-06-30,,,私享草原旗舰店,4.57,3.7,4.7,2023-04-18 21:55:15.018
生鲜,五芳斋咸鸭蛋松花蛋皮蛋 多规格12枚 冒沙红心流油特产即食下饭 ,31.9,13.00%,4.15,已售：2318,结束：2023-06-30,,,五芳斋官方旗舰店,4.85,4.98,4.99,2023-04-18 21:55:15.135
生鲜,【麻辣小海鲜开罐即食组合装】冷冻八爪鱼生蚝扇贝鲍螺肉鲍鱼蛤肉,107,21.00%,22.47,已售：15,结束：2024-03-31,,,品八鲜厂家小店,4.43,4.66,4.63,2023-04-18 21:55:15.255
生鲜,齐鲜达爆汁烤肠50g*8根黑猪肉原味黑椒速冻烤肠早餐火山石纯肉肠,89.9,6.00%,5.39,已售：3600,结束：2024-04-30,,,齐鲜达官方旗舰店,4.95,4.99,4.93,2023-04-18 21:55:15.385
生鲜,【买1送1】长牌骨汤胡椒猪肚鸡火锅半成品1110g/袋鸡煲汤开袋即食,89.9,25.00%,22.48,已售：329,结束：2024-02-29,4,11,长牌旗舰店,4.64,4.69,4.81,2023-04-18 21:55:15.488
生鲜,直播间专享四川手工纯糯米糍粑500g/袋,5.8,12.00%,0.7,已售：38.8万,结束：2023-07-31,,,汇农春浩聚速食专卖店,4.66,4.79,3.67,2023-04-18 21:55:15.584
生鲜,泰州鹅脱温苗 半斤泰州鹅苗 泰州大种鹅苗 大白鹅送路损 送的不赔,350,10.00%,35,已售：8,结束：2026-04-01,,,牧森农场,4.03,4.55,4.63,2023-04-18 21:55:15.680
生鲜,星草荟广东清远深坑特产土伏岺根茎1kg 新鲜挖农产品,58,20.00%,11.6,已售：979,结束：2023-04-30,,,佛冈县迳头镇深坑土特产店,4.48,4.66,4.91,2023-04-18 21:55:15.772
生鲜,秭归伦晚脐橙食用生鲜香甜多汁3斤5斤9斤鲜甜天然阳光皮薄细腻,19.8,25.00%,4.95,已售：48,结束：2023-06-30,,,指尖村品,4.72,4.55,4.64,2023-04-18 21:55:15.871
生鲜,【春日轻食季】地道肠火山石烤肠猪头肠热狗肠鸡肉肠烤肠400g/袋,1.75,20.00%,0.35,已售：533,结束：2023-12-31,9,513,小仙女皇家美食店,4.82,4.71,4.7,2023-04-18 21:55:15.970
生鲜,鳜宾【1条】净膛5-6两臭鳜鱼送料包正宗安徽黄山特产真空装臭桂鱼,36.8,20.00%,7.36,已售：600,结束：2023-12-31,,,徽张黄山臭鳜鱼,4.96,4.85,4.94,2023-04-18 21:55:16.069
生鲜,皮厨大叔蒜蓉粉丝扇贝1袋300克【6枚蒸烤即食】饱满新鲜营养嫩滑,35,21.00%,7.35,已售：3.6万,结束：2024-01-30,7,33,皮厨大叔生鲜旗舰店,4.98,4.98,4.99,2023-04-18 21:55:16.169
生鲜,【红烧香辣带鱼罐头】红烧香辣 带鱼罐头 开罐即食 下饭 营养新鲜,99,35.00%,34.65,已售：1371,结束：2023-10-26,,,参美海味食品个体店,4.73,4.96,4.93,2023-04-18 21:55:16.276
生鲜,厨好当200g夹沙肉方便菜，快手菜加热，即食川渝特色常温精品蒸煮,49.9,20.00%,9.98,已售：135,结束：2023-04-30,3,23,厨好当生鲜旗舰店,4.52,4.73,4.55,2023-04-18 21:55:16.375
生鲜,【主播推荐】大黄米汤圆多口味420克网红元宵黑芝麻花生馅香甜,24.9,20.00%,4.98,已售：1211,结束：2024-03-30,12,43,味层香旗舰店,4.89,4.84,4.66,2023-04-18 21:55:16.484
生鲜,金涛鹅王丸潮汕正宗鹅肉丸特产火锅烧烤汤澄海狮头鹅肉丸1000G/盒,49,18.00%,8.82,已售：2350,结束：2023-10-07,5,27,金涛鹅王丸生鲜旗舰店,4.92,4.75,4.97,2023-04-18 21:55:16.601
生鲜,【大黄鲜森】伊比利亚黑猪颈骨带肉5斤红烧炖肉500g/包筒骨助排,99,12.00%,11.88,已售：22,结束：2023-12-31,1,18,大黄鲜森生鲜旗舰店,4.77,4.85,4.92,2023-04-18 21:55:16.709
生鲜,虾滑（虾含量≥95%）国产冷冻纯手工海鲜 100g*10袋 TZ,99,10.00%,9.9,已售：1385,结束：2024-03-31,,,青淼生鲜企业店,4.99,4.98,4.95,2023-04-18 21:55:16.825
生鲜,湾仔码头早餐速食系列 鲜肉/奶黄/彩皮小笼包/三拼组合皮薄馅大,69.9,20.00%,13.98,已售：34,结束：2023-08-31,,,湾仔码头官方旗舰店,4.99,4.93,4.97,2023-04-18 21:55:16.935
生鲜,正宗老品种板栗贝贝小南瓜宝宝辅食日本新鲜香甜粉糯3斤装,17.9,20.00%,3.58,已售：52,结束：2023-09-30,,,傲云山农产品供应店,4.7,4.82,4.64,2023-04-18 21:55:17.055
生鲜,【中通+顺丰】宁波风味梅干菜饼家庭装速冻半成品90g*20片早餐饼 ,35.8,22.00%,7.88,已售：2566,结束：2023-08-31,7,26,豪饱饱食品,4.99,4.86,4.98,2023-04-18 21:55:17.178
生鲜,5斤海南树上熟贵妃芒现摘新鲜水果空运当季热带食用爆甜饱满芒果,98,15.00%,14.7,已售：16,结束：2023-05-31,,,铁定兴选,4.57,4.45,4.64,2023-04-18 21:55:17.293
生鲜,食得迷小炒黄牛肉300g开胃湘菜下饭美食懒人速烹免洗免切方便菜,19.9,20.00%,3.98,已售：2002,结束：2024-05-01,,,食得迷官方旗舰店,4.99,4.96,4.86,2023-04-18 21:55:17.412
生鲜,【拍三发四】阳澄湖香辣蟹盒装麻辣公母混搭螃蟹酱香即食熟食方便,119.6,15.00%,17.94,已售：14,结束：2023-06-30,9,,浪里王生鲜旗舰店,4.93,4.93,4.95,2023-04-18 21:55:17.540
生鲜,【SQ】微波水饺3种口味组合8袋优选肉馅/微波速冻/即食便当新鲜,59.9,15.00%,8.98,已售：420,结束：2024-02-29,5,24,三全生鲜旗舰店,4.91,4.76,4.91,2023-04-18 21:55:17.649
生鲜,新疆伊犁哈尔毕腌菜！红油豇豆！每袋268克！三袋包邮！,22,16.00%,3.52,已售：646,结束：2024-05-01,,,霍城县清水河镇哈尔毕腌菜厂,4.93,3.8,4.78,2023-04-18 21:55:17.757
生鲜,百食轩 正宗大别山土鸡蛋40枚新鲜现捡现发 营养优质 破损包赔总,49.9,15.00%,7.48,已售：7184,结束：2024-01-08,3,29,百食轩官方旗舰店,4.77,4.98,4.91,2023-04-18 21:55:17.844
生鲜,绍兴安昌酱香肠 农家特产 舌尖中国 常温密封 手工腊香肠 500g,42.6,20.00%,8.52,已售：2211,结束：2023-11-13,10,,绍兴安昌古镇特产店,4.99,4.69,4.96,2023-04-18 21:55:17.952
生鲜,韩式泡菜 辣白菜450克x3袋 开袋即食 包邮,19.9,40.00%,7.96,已售：1721,结束：2023-10-10,6,28,大石桥市丹菲菲食杂店,4.88,4.92,4.61,2023-04-18 21:55:18.060
生鲜,【宜久郎】嵊州风味牛肉小笼包早餐速食半成品速冻食品包子早餐,39.9,25.00%,9.98,已售：415,结束：2023-11-30,2,21,宜久郎食品旗舰店,4.94,4.9,4.81,2023-04-18 21:55:18.154
生鲜,年糕大叔韩式火锅套餐组合1020g 芝士年糕鱼饼泡菜火锅食材组合,39.9,24.00%,9.58,已售：1110,结束：2023-06-30,23,,年糕大叔食品店,4.78,4.88,4.86,2023-04-18 21:55:18.262
生鲜,日式关东煮火锅蟹棒500g寿司手撕蟹柳30根/包蟹柳部队火锅蟹味棒,19.8,17.00%,3.37,已售：249,结束：2023-08-31,11,,昭合食品专营店,4.97,4.65,4.95,2023-04-18 21:55:18.373
生鲜,外婆亲亲味醉鱼绍兴特产原味醉鱼小包装休闲零食即食小鱼干鱼块,59.9,20.00%,11.98,已售：18,结束：2025-04-30,,,外婆亲亲味生鲜旗舰店,4.98,4.86,4.95,2023-04-18 21:55:18.469
生鲜,2030盐冻大虾 活虾速冻盐冻虾虾肉冷冻生鲜单只解冻,129,11.00%,14.19,已售：19,结束：2023-11-01,16,,优不二生鲜旗舰店,4.95,4.98,4.88,2023-04-18 21:55:18.573
生鲜,【一斤尝鲜装】优信潮汕牛肉丸爆汁实心牛筋丸火锅丸子 严选牛丸,59,20.00%,11.8,已售：2089,结束：2023-06-30,1,14,潮味优信官方旗舰店,4.99,4.91,4.98,2023-04-18 21:55:18.684
生鲜,海南王品麒麟果燕窝果新鲜热带水果甜糯多汁非黄色火龙果礼盒装,188,17.00%,31.96,已售：15,结束：2023-05-31,,,王品果业生鲜,4.93,4.49,4.79,2023-04-18 21:55:18.790
生鲜,鲜知己 淡干南极磷虾100g（赠100g）营养海鲜,19.9,17.00%,3.38,已售：258,结束：2024-02-24,9,63,林谷鲜生鲜旗舰店,4.85,4.95,4.62,2023-04-18 21:55:18.911
生鲜,美粮坊大黄米葱花饼速食营养早餐20片90克早餐速食冷冻半成品酥脆,28.8,25.00%,7.2,已售：4567,结束：2023-04-30,6,28,美粮坊官方旗舰店,4.88,4.82,4.97,2023-04-18 21:55:19.034
生鲜,【赠鸡排赠刀叉酱】小牛凯西整切调理 西冷眼肉牛排130g*10片牛扒,159,20.00%,31.8,已售：223,结束：2023-04-30,,,嘉泰合食品专营店,4.92,4.64,4.89,2023-04-18 21:55:19.147
生鲜,吉好家温州矾山纯手工肉燕、福州肉燕、太平燕80克/包（到手6包）,69,19.00%,13.11,已售：52,结束：2023-10-31,,,戴眼仔瘦肉丸,4.79,4.73,4.89,2023-04-18 21:55:19.260
生鲜,送精美烤肠叉 猪肉无淀粉烤肠火山石爆汁肠200g/5包*9包冷冻食品,29.9,24.00%,7.18,已售：81,结束：2023-09-30,,,大唐盛宴生鲜旗舰店,4.88,4.79,3.96,2023-04-18 21:55:19.384
生鲜,唐扬鸡块柚香胡椒味特色日式鸡块空气炸锅免油炸炸鸡半成品450g,39.8,20.00%,7.96,已售：495,结束：2023-05-14,3,28,筷百味旗舰店,4.99,4.99,4.73,2023-04-18 21:55:19.503
生鲜,清多多珍珠丸子糯米肉丸手工湖北特产农家珍珠圆子猪肉园子258g,29.9,20.00%,5.98,已售：734,结束：2023-04-30,,,清多多食品旗舰店,4.99,4.98,4.9,2023-04-18 21:55:19.656
生鲜,邳城草鸡蛋20枚、30枚、40枚,39.9,25.00%,9.98,已售：36,结束：2023-11-30,21,,邳城李锦食品店,4.7,4.97,4.97,2023-04-18 21:55:45.018
生鲜,湖南家常梅菜扣肉 一道菜半成品肉香浓郁梅菜干爽脆老少皆宜食用,69.9,26.00%,18.17,已售：525,结束：2025-07-31,,,厨上厨生鲜旗舰店,4.98,4.95,4.86,2023-04-18 21:55:45.145
生鲜,【认领一瓣蒜】腊八蒜绿蒜醋泡蒜下饭菜酱腌菜配宵夜早餐400gZSZY,9.9,25.00%,2.48,已售：96,结束：2023-05-31,30,85,认领一瓣蒜,4.91,4.99,4.48,2023-04-18 21:55:45.250
生鲜,【尚巧厨】展艺爆浆红糖糍粑10根/包火锅店糍粑外酥里糯叽叽美食D,22.8,30.00%,6.84,已售：6552,结束：2023-06-20,11,31,尚巧厨卖场旗舰店,4.99,4.93,4.99,2023-04-18 21:55:45.350
生鲜,【思懿专属】奥点点藤椒鸡肉+奥尔良鸡肉烧饼18个加送2个到手20个,99,20.00%,19.8,已售：19,结束：2023-05-31,10,,广东奥朗食品企业店,4.57,4.55,4.59,2023-04-18 21:55:45.460
生鲜,千味央厨荠菜猪肉蒸煎饺鲜肉速冻水饺饺子锅贴蒸饺早餐1000克50个,19.9,28.00%,5.57,已售：293,结束：2024-08-15,2,30,稀饭饱饱生鲜,4.97,4.71,4.92,2023-04-18 21:55:45.571
生鲜,正宗贝贝南瓜迷你小南瓜山东老南瓜粉糯香甜软孕妇宝宝辅食五斤,29.9,25.00%,7.48,已售：64,结束：2023-08-31,19,35,壹亩地瓜生鲜旗舰店,4.85,4.68,4.71,2023-04-18 21:55:45.676
生鲜,大娘水饺6包实惠装组合白菜猪肉*2+荠菜猪肉*2+玉米猪肉*2,119.9,30.00%,35.97,已售：53,结束：2023-12-31,1,6,吴大娘生鲜旗舰店,4.55,4.71,4.71,2023-04-18 21:55:45.779
生鲜,食新溢正宗老上海葱油饼早餐速食半成品家庭装加热即食葱香手抓饼,34.8,22.00%,7.66,已售：1454,结束：2023-06-30,7,26,食新溢生鲜旗舰店,4.96,4.89,4.8,2023-04-18 21:55:45.894
生鲜,鼎巴鼎巴牛肉串 户外露营烧烤BBQ半成品食材 20克/串 40串,99,12.00%,11.88,已售：14,结束：2023-07-31,,,鼎巴鼎巴生鲜旗舰店,4.86,4.52,4.71,2023-04-18 21:55:46.004
生鲜,小熊掰掰 东北黄糯玉米220克*10支/箱 真空包装 软糯香微甜低脂,33.9,15.00%,5.08,已售：47,结束：2023-05-31,,,小熊掰掰粮油旗舰店,4.55,4.95,4.77,2023-04-18 21:55:46.103
生鲜,【壹何水果】奉节纽荷尔脐橙5斤/8斤皮薄新鲜甜汁多现摘现发食用,52.9,20.00%,10.58,已售：308,结束：2023-06-30,,,壹何水果,4.34,4.57,4.52,2023-04-18 21:55:46.247
生鲜,梁品优选新西兰银蕨农场Reserve系列原切西冷牛排180g*5片,350,15.00%,52.5,已售：73,结束：2024-01-31,,,梁品优选,4.75,4.43,4.75,2023-04-18 21:55:46.354
生鲜,雷先森【独立装】糯米糍粑纯手工自制湖北恩施特产红糖豆粉半成品,12.8,47.00%,6.02,已售：4185,结束：2023-04-30,3,19,雷先森食品旗舰店,4.99,4.99,4.43,2023-04-18 21:55:46.470
生鲜,金汤酸菜鱼450gx3袋 厨房小白 秒变大厨餐饮预制菜正宗正宗成品,69.9,20.00%,13.98,已售：263,结束：2023-07-11,,,宁大头食品旗舰店,4.58,4.57,4.7,2023-04-18 21:55:46.601
生鲜,脆易随溏心蛋即食海鲜味糖心卤蛋可生食半熟玉子鸡蛋12枚速食零食,74.9,20.00%,14.98,已售：3945,结束：2023-05-31,2,14,脆易随生鲜旗舰店,4.57,4.26,4.31,2023-04-18 21:55:46.722
生鲜,腊杆陈【山东老字号】泥炉烤鸡 果木熏烤 拆袋即食650g/只,69.9,15.00%,10.48,已售：2.4万,结束：2023-11-30,20,,膳存生鲜,4.95,4.78,4.71,2023-04-18 21:55:46.832
生鲜,湖北土特产农家自制风干土鸡散养咸鸡腊鸡年货腊肉干货整只,49,17.00%,8.33,已售：7672,结束：2023-12-31,,,姐妹花农贸,4.88,4.98,4.97,2023-04-18 21:55:46.959
生鲜,DINGCAN/鼎灿正宗福鼎肉片瘦肉丸采用新鲜猪后腿肉250G尝鲜装29.8,29.8,14.00%,4.17,已售：53,结束：2023-06-15,,,鼎灿DINGCAN生鲜旗舰店,4.77,4.67,4.84,2023-04-18 21:55:47.075
生鲜,【丰收农场】正宗烟薯25糖心红薯新鲜蜜薯番薯沙地地瓜5斤装山东,26.9,25.00%,6.72,已售：2920,结束：2023-06-30,13,,丰收农场企业店,4.89,4.75,4.8,2023-04-18 21:55:47.197
生鲜,【原装进口】阿榴哥泰国进口金枕头冷冻榴莲果肉 600g 盒装营养,99,5.00%,4.95,已售：29,结束：2024-03-31,,,阿榴哥生鲜旗舰店,3.53,4.74,4.96,2023-04-18 21:55:47.318
生鲜,独立包装广西吊柿降霜柿饼 香甜软糯流心吊柿饼1500g柿子浓郁新鲜,4.99,30.00%,1.5,已售：3908,结束：2024-01-26,,,三秦鸿生鲜干果,4.26,4.44,4.55,2023-04-18 21:55:47.425
生鲜,【达人专属】大希地巴沙鱼无刺无腥  200g*6或200g*8   DR2,79.9,20.00%,15.98,已售：166,结束：2024-03-31,5,12,大希地食品旗舰店,4.97,4.9,4.99,2023-04-18 21:55:47.520
生鲜,【都乐Dole】即食白甜玉米棒 6根/20根原箱装 单根180g 非转基因 ,69,10.00%,6.9,已售：213,结束：2023-12-31,6,26,都乐Dole生鲜旗舰店,4.77,4.73,4.81,2023-04-18 21:55:47.616
生鲜,阳光玫瑰晴王葡萄果冻布丁爆皮葡萄好吃好玩,18.8,25.00%,4.7,已售：51,结束：2025-03-01,3,,万康优选,4.76,3.34,4.45,2023-04-18 21:55:47.705
生鲜,TOPIN/众品墨西哥鸡肉卷半成品蒸微波加热速食家庭学生方便早餐,24.5,20.00%,4.9,已售：777,结束：2023-07-31,,,众品生鲜旗舰店,4.75,4.56,4.88,2023-04-18 21:55:47.810
生鲜,河南肉盒子休闲牛肉馅饼潮汕马头牛肉速食早餐成品团购牛肉饼新鲜,48.6,20.00%,9.72,已售：63,结束：2024-03-20,,,夏邑县王老五炖肉胡辣汤馆,4.57,4.28,4.43,2023-04-18 21:55:47.915
生鲜,乌江鲜脆榨菜丝70g*10袋 清爽脆口,25,15.00%,3.75,已售：1460,结束：2024-03-08,,,乌江惠聚天下专卖店,4.91,4.92,4.77,2023-04-18 21:55:48.012
生鲜,舟山带鱼段中段 250g*10袋 0冰衣去头去尾新鲜肉质细嫩深海冷冻,89.9,15.00%,13.48,已售：2874,结束：2023-11-01,3,15,优不二生鲜旗舰店,4.95,4.98,4.88,2023-04-18 21:55:48.113
生鲜,田园梦临川菜梗36g/52g/86g/216g鲜辣腌芥菜下稀饭江西抚州特产,28.8,20.00%,5.76,已售：455,结束：2023-09-30,,,天宇专营店,4.51,3.53,4.92,2023-04-18 21:55:48.216
生鲜,即食虾皮小虾米小海米做汤馅子紫菜煮汤海鲜干货50g,1.98,12.00%,0.24,已售：750,结束：2023-07-31,,,太空刺猬海味企业店,4.92,4.84,4.73,2023-04-18 21:55:48.318
生鲜,【希月专属】十三天活珠蛋黄营养价值神仙吃法无骨头美食推荐官蛋,19.9,23.00%,4.58,已售：1300,结束：2023-04-30,,,希月旗舰店,4.74,4.32,4.56,2023-04-18 21:55:48.425
生鲜,XBW/雪霸王【一口吃下4种食材】兔小雪紫薯包 儿童营养卡通早餐,29.9,15.00%,4.48,已售：1377,结束：2023-06-30,8,39,雪霸王旗舰店,4.97,4.93,4.87,2023-04-18 21:55:48.536
生鲜,现摘现发香甜钦蜜9号百香果精品大果3斤农家新鲜采摘应季水果黄金,82.8,20.00%,16.56,已售：29,结束：2023-07-31,,,十里田海（鲜果园）,4.83,4.66,4.76,2023-04-18 21:55:48.652
生鲜,【催熟食用】海南金煌芒4.5-5斤装新鲜水果香甜个大饱满 坏果包赔,29.9,22.00%,6.58,已售：176,结束：2024-07-31,,,佰纷佰禾生鲜旗舰店,4.71,4.93,4.29,2023-04-18 21:55:48.776
生鲜,【麻六记专享】精品山林散养猪肉烤肠脆皮爆汁烤肉肠400g/盒/8支,59.9,30.00%,17.97,已售：274,结束：2023-04-30,3,10,北创食品旗舰店,4.76,4.68,4.88,2023-04-18 21:55:48.902
