商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,采集时间
【23年新升级】泰国Mistine泰版小黄帽防晒霜40ml防紫外线,59,25.00%,14.75,已售：5.6万,结束：2024-05-31,5313,,Mistine海外旗舰店,4.97,4.87,,2023-04-18 21:38:50.140
【四盒】FCX黄金胶原蛋白晚安冻膜 水盈沁透深层保湿敷修护面膜,99.9,47.00%,46.95,已售：4.2万,结束：2023-06-01,158,,FCX旗舰店,4.91,4.5,,2023-04-18 21:38:50.212
OUTOFOFFICE OOO精准唇线笔 持久显色精准勾勒易携带新手唇釉口红,29,28.00%,8.12,已售：80.1万,结束：2023-12-31,7169,,OUT-OF-OFFICE官方旗舰店,4.97,4.92,,2023-04-18 21:38:50.286
【明星推荐 不满意全额退】美白洗面奶 男女通用美白烟酰胺净肤s1,49.99,35.00%,17.5,已售：3.8万,结束：2023-06-30,3643,,草安堂护肤旗舰店,4.96,4.94,,2023-04-18 21:38:50.368
【米约】防水防汗防晕染睫毛膏卷翘不晕染眼部彩妆,15.9,26.00%,4.13,已售：192.4万,结束：2023-12-31,1.2万,,蛋壳化妆品专营店,4.92,4.74,,2023-04-18 21:38:50.440
AKF散粉 平价油皮控油防水不易脱妆镭射定妆粉轻透不卡粉柔焦蜜粉,49,22.00%,10.78,已售：28.2万,结束：2023-08-22,5739,,AKF官方旗舰店,4.73,4.99,,2023-04-18 21:38:50.521
【粉丝专享】 到手1盒/100条4g大容量冻干粉免洗睡眠面膜补水保湿,9.9,18.00%,1.78,已售：28.2万,结束：2024-03-01,792,,美兰伦优选店,4.84,3.31,,2023-04-18 21:38:50.594
【小鱼海棠推荐】AKF睫毛膏 防水轻盈纤长持妆不易晕染平价定型膏,49,25.00%,12.25,已售：128.1万,结束：2023-04-30,4511,,AKF官方旗舰店,4.73,4.99,,2023-04-18 21:38:50.677
【23年新升级】泰国Mistine泰版小黄帽防晒霜60ml*2,138,25.00%,34.5,已售：1.7万,结束：2024-02-29,2197,,Mistine海外旗舰店,4.97,4.87,,2023-04-18 21:38:50.760
【假一赔十】2罐装 德国allcura 植物淡斑祛斑霜老年斑30ml,176,21.00%,36.96,已售：1.4万,结束：2023-04-30,516,,海带海外专营店,4.88,4.1,,2023-04-18 21:38:50.842
【魅弋MEIYI】 氨基酸温和绿茶洗面奶清洁控油黑头保湿洁面乳DK,9.9,26.00%,2.57,已售：66.3万,结束：2023-07-31,2.1万,,蛋壳化妆品专营店,4.92,4.74,,2023-04-18 21:38:50.928
遮瑕笔遮盖眉毛遮瑕泪沟黑眼圈斑点痘印修饰遮泪沟遮盖斑点卧蚕笔,9.9,50.00%,4.95,已售：38.9万,结束：2024-03-01,1.3万,,辛瑞美妆专营店,4.75,4.99,,2023-04-18 21:38:51.022
Colorkey珂拉琪散粉小雾镜定妆蜜粉持久控油防汗不脱妆干皮油皮,109,25.00%,27.25,已售：4.5万,结束：2023-06-30,2157,,珂拉琪colorkey官方旗舰店,4.63,4.94,,2023-04-18 21:38:51.121
ROMESON/罗美诗备长炭控油清洁面膜补水保湿提亮贴片收缩毛孔黑膜,49.9,45.00%,22.46,已售：12.7万,结束：2023-12-31,3555,,ROMESON罗美诗旗舰店,4.98,4.98,,2023-04-18 21:38:51.223
【院线直供】法国葡萄籽精油 面部精油脸部护肤紧致提拉精华油,69,40.00%,27.6,已售：3.7万,结束：2024-03-16,1482,,ZRZR旗舰店,4.99,4.98,,2023-04-18 21:38:51.309
【宠粉福利2支9.9】懒人眼妆高光眼影笔卧蚕笔双头眼影棒不飞粉,9.9,54.00%,5.35,已售：4.7万,结束：2024-04-30,6179,,MKING PRETTY美妆旗舰店,4.92,4.98,,2023-04-18 21:38:51.398
 BABI维C定妆喷雾持久定妆控油防水抗氧快速防汗定妆DB,59,34.00%,20.06,已售：2.7万,结束：2023-06-01,2875,,BABI官方旗舰店,4.37,4.95,,2023-04-18 21:38:51.490
官方旗舰店AHC男士水乳套装三件正品补水保湿全套学生护肤品控油,168,20.00%,33.6,已售：7.0万,结束：2023-05-31,1414,,AHC旗舰店,4.97,4.97,,2023-04-18 21:38:51.587
【品牌定制款梳子*1 】BABI空气感女士紫色排骨梳Z,49,35.00%,17.15,已售：450,结束：2023-06-30,1,,BABI官方旗舰店,4.37,4.95,,2023-04-18 21:38:51.679
【9.9/三支】xixi慕斯唇泥唇釉哑光雾面口红学生显白不沾杯不掉色,9.9,35.00%,3.46,已售：37.1万,结束：2024-03-31,1.1万,,xixi旗舰店,4.82,4.17,,2023-04-18 21:38:51.770
【9.9两支】视黄A醇赋弹紧肌眼霜补水保湿紧致抗皱眼纹细纹黑眼圈,9.9,33.00%,3.27,已售：18.7万,结束：2023-06-30,,,恒馨哲化妆品专营店,4.69,4.98,,2023-04-18 21:38:51.857
【达人推荐 】Judydoll橘朵新品上市精准描绘眼线液笔不脱色细头,34.8,30.00%,10.44,已售：33.3万,结束：2023-10-31,5134,,橘朵官方旗舰店,4.88,4.96,,2023-04-18 21:38:51.948
逐本清欢洁颜油植物水感清爽脸部清洁卸妆油洁肤油150ml-c干净,88,10.00%,8.8,已售：3.8万,结束：2023-05-20,,,逐本官方旗舰店,4.99,4.96,,2023-04-18 21:38:52.032
红人范野生眉笔防水防汗不掉色根根分明砍刀眉笔纹眉师美妆推荐眉,36.8,35.00%,12.88,已售：16.4万,结束：2023-05-01,1483,,红人范美妆旗舰店,4.68,4.85,,2023-04-18 21:38:52.123
质润15%壬二酸凝胶舒缓控油修护祛痘去黑头去粉刺闭口15g净颜乳液,49.9,21.00%,10.48,已售：10.9万,结束：2024-05-03,3712,,质润官方旗舰店,4.94,4.94,,2023-04-18 21:38:52.215
【粉丝福利】 到手1盒/100条4g大容量冻干粉免洗睡眠面膜补水保湿,9.9,17.00%,1.68,已售：12.6万,结束：2024-01-31,5.4万,,肆意优选,4.96,4.8,,2023-04-18 21:38:52.309
蒂洛薇【节日T2专享】珂素妍多效倍护美白防晒喷雾360ml拍1发3,49,33.00%,16.17,已售：2.7万,结束：2023-08-31,7664,,蒂洛薇官方旗舰店,4.93,4.86,,2023-04-18 21:38:52.392
壬二酸15%凝胶祛痘凝露淡化痘印痘坑甲肖修护水杨酸男女唑学生,6.9,30.00%,2.07,已售：82.6万,结束：2023-05-17,2.0万,,薇薇护肤,4.89,4.97,,2023-04-18 21:38:52.474
【达人专享】Mistine蓝盾pro粉底液清透不厚重自然不脱妆持久遮瑕,79,30.00%,23.7,已售：6.8万,结束：2024-01-31,1508,,MISTINE蜜丝婷官方旗舰店,4.88,4.98,,2023-04-18 21:38:52.558
【达人推荐】INTO YOU 女主角唇泥雾面哑光口红唇釉显白学生平价,44,20.00%,8.8,已售：6.9万,结束：2023-07-08,707,,INTOYOU美妆旗舰店,4.9,4.97,,2023-04-18 21:38:52.643
【品牌主推丨当家花旦】INTO YOU 女主角唇泥雾面哑光不掉色学生,44,30.00%,13.2,已售：10.0万,结束：2023-12-31,2449,,INTOYOU美妆旗舰店,4.9,4.97,,2023-04-18 21:38:52.738
VIDIVICI女神洗面奶双支装120ml*2清洁控油保湿氨基酸不刺激达人,340,21.00%,71.4,已售：8977,结束：2023-04-30,,,VIDIVICI官方旗舰店,4.99,4.95,,2023-04-18 21:38:52.835
A.IERVOLINO 清透水珠养肤隔离乳,1080,25.00%,270,已售：2672,结束：2024-04-05,,,A.IERVOLINO艾伊维诺官方旗舰店,4.8,4.79,,2023-04-18 21:38:52.927
【明星推荐 不满意全额退】美白洗面奶 男女通用 美白控油净肤 s1,49.99,35.00%,17.5,已售：13.9万,结束：2023-12-31,157,,甄选护肤优品店,4.72,4.98,,2023-04-18 21:38:53.016
200片起装 木乃伊可拉伸化妆棉 湿敷专用超薄透气湿敷棉 卸妆棉,9.9,36.00%,3.56,已售：94.9万,结束：2024-03-31,1.4万,,缘来是你 美妆甄选店,4.97,4.61,,2023-04-18 21:38:53.109
 FLORTTE/花洛莉亚我爱我小姐+哇塞好细眼线液笔 卧蚕笔CP组防水,22,32.00%,7.04,已售：30.9万,结束：2026-05-31,6580,,FLORTTE花洛莉亚官方旗舰店,4.79,4.42,,2023-04-18 21:38:53.200
逆龄刀锋眼线刷N31斜角刀锋刷软毛斜角扁头眼睑下至卧蚕刷眉刷,9.9,33.00%,3.27,已售：73.0万,结束：2023-12-31,9366,,逆龄官方旗舰店,4.97,4.99,,2023-04-18 21:38:53.288
ROTO高颜值十二色水泥眼影纯欲风大地色珠光哑光奶茶盘高光平价,25.8,29.00%,7.48,已售：8.5万,结束：2024-05-09,,,兴桐美妆店,4.64,4.5,,2023-04-18 21:38:53.384
【3秒成膜不假白】 BbLAB苾莱宝裸感防晒喷雾SPF50+不花妆0酒精,267,20.00%,53.4,已售：3.8万,结束：2023-07-29,,,Bb LABORATORIES官方旗舰店,4.97,4.97,,2023-04-18 21:38:53.478
珀兰娜PLANNER丝韵流光修颜液妆前乳打底哑光隐匿毛孔面部修饰,68,40.00%,27.2,已售：14.7万,结束：2023-10-10,1300,,珀兰娜planner旗舰店,4.71,4.95,,2023-04-18 21:38:53.569
【拍1发2水润柔舒保湿面霜】屏障修护玻尿酸补水面霜滋润护肤50g,59.9,42.00%,25.16,已售：12.6万,结束：2023-11-17,1663,,药都仁和美妆旗舰店,4.99,4.98,,2023-04-18 21:38:53.666
【粉丝福利】防晒霜SPF50+皙世华容防晒乳防紫外线不假白学生党,19.9,54.00%,10.75,已售：3.2万,结束：2024-04-30,1502,,梦颜优选,4.97,4.97,,2023-04-18 21:38:53.743
四色高光修容一体盘哑光防水提亮脸面部平价学生修颜鼻影阴影腮红,9.9,35.00%,3.46,已售：24.4万,结束：2024-04-30,1.2万,,偲懿韩美妆专营店,4.75,4.97,,2023-04-18 21:38:53.827
【爆款妈生皮粉底液】LANYAN兰研水漾薄纱裸妆透气粉底液柔雾修饰,168,25.00%,42,已售：3.7万,结束：2023-06-30,19,,LANYAN兰研卖场旗舰店,4.78,3.67,,2023-04-18 21:38:53.898
发际线粉填充补发防水防汗持妆发际线修容阴影笔自然遮高额头学生,9.9,40.00%,3.96,已售：20.2万,结束：2023-06-30,9586,,蘑菇格格美妆店,4.76,4.97,,2023-04-18 21:38:53.972
纳葆蓓粉刺清洁工具去黑头神器细胞夹子粉刺针祛痘挑闭口挤刮镊子,7.8,18.00%,1.4,已售：117.4万,结束：2023-04-30,8.2万,,纳葆蓓企业店,4.89,4.79,,2023-04-18 21:38:54.053
秀肤生防晒霜防晒隔离霜二合一油皮干皮敏感肌直播间控油提亮50倍,79,27.00%,21.33,已售：7.6万,结束：2023-06-30,2644,,秀肤生Cell Fusion C官方旗舰店,4.97,4.96,,2023-04-18 21:38:54.131
ukiss睫毛打底膏纤长卷翘防水持久睫毛膏防汗眼部彩妆不晕染,39.9,20.00%,7.98,已售：29.2万,结束：2023-08-31,,,UKISS悠珂思官方旗舰店,4.86,4.92,,2023-04-18 21:38:54.212
【达人专属】piara散粉定妆粉控油吸油持久防水防汗不脱妆蜜粉饼,49,36.00%,17.64,已售：4.5万,结束：2023-05-31,2929,,PIARA佩冉旗舰店,4.86,4.92,,2023-04-18 21:38:54.292
朱莉欧素颜霜隔离遮瑕保湿自然不假白服帖懒人霜面部提亮护肤男女,99,40.00%,39.6,已售：47.9万,结束：2023-12-31,766,,朱莉欧JUELREOU官方旗舰店,4.24,4.99,,2023-04-18 21:38:54.375
韩瑟【药监局备案国妆】HIISEES肤研美白祛斑霜升级版 护肤品面霜,59.8,48.00%,28.7,已售：3.9万,结束：2023-06-29,2465,,博纳-供应链,4.99,4.97,,2023-04-18 21:38:54.465
【粉丝专享】 到手1盒/100条4g大容量冻干粉免洗睡眠面膜补水保湿,9.9,18.00%,1.78,已售：10.6万,结束：2024-04-01,7227,,无忧好物精选三号店,4.8,3.13,,2023-04-18 21:38:54.550
【达人专享】Judydoll橘朵染眉膏自然持久防水立体不脱色防汗持妆,24.8,30.00%,7.44,已售：16.7万,结束：2023-12-01,4450,,橘朵官方旗舰店,4.88,4.96,,2023-04-18 21:38:54.641
【达人专享】23年新升级泰国Mistine泰版小黄帽防晒霜40ml夏季,59,25.00%,14.75,已售：3.2万,结束：2024-05-31,2139,,Mistine海外旗舰店,4.97,4.87,,2023-04-18 21:38:54.733
FLORTTE/花洛莉亚哇塞好细眼线液笔卧蚕阴影笔防水不晕染新手,22,30.00%,6.6,已售：57.5万,结束：2023-08-31,5451,,FLORTTE花洛莉亚官方旗舰店,4.79,4.42,,2023-04-18 21:38:54.845
沪美贵妇黄金莹润修护眼膜贴淡眼纹护肤保湿滋润淡细纹 60贴/盒,9.9,33.00%,3.27,已售：112.4万,结束：2023-12-31,7392,,WM美妆店,4.94,3.96,,2023-04-18 21:38:54.938
【黄圣依同款】丝菲兰斯密罗木祛痘啫喱改善痘痘痘印黑头粉刺控油,69,25.00%,17.25,已售：10.2万,结束：2024-07-31,,,丝菲兰斯美妆旗舰店,4.42,4.97,,2023-04-18 21:38:55.033
【19.9  凝萃肌活洁面乳120g】清爽控油男女保湿清洁肌肤清洁去油,19.9,36.00%,7.16,已售：31.7万,结束：2023-11-17,5186,,药都仁和美妆旗舰店,4.99,4.98,,2023-04-18 21:38:55.121
【美诺】美诺大白饼-定妆控油防水防汗干皮油皮散粉提亮哑光学生,29.9,35.00%,10.46,已售：50.8万,结束：2023-07-01,4554,,美诺官方旗舰店,4.86,4.47,,2023-04-18 21:38:55.214
茉语硅胶洗刷碗化妆刷粉扑清洗工具清洗器美妆蛋清洗剂晾晒网,9.9,25.00%,2.48,已售：41.2万,结束：2023-08-31,1.3万,,茉语美妆旗舰店,4.96,3.54,,2023-04-18 21:38:55.309
【官方直营】auou艾遇水乳套装护肤品补水保湿化妆品干混油皮推荐,98,27.00%,26.46,已售：38.4万,结束：2023-06-30,1534,,AUOU艾遇官方旗舰店,4.86,4.88,,2023-04-18 21:38:55.405
【拍即送5片压缩面膜】玻尿酸补水保湿精华液 200ml/瓶修护大容量,36.9,50.00%,18.45,已售：7.4万,结束：2023-11-17,1071,,药都仁和美妆旗舰店,4.99,4.98,,2023-04-18 21:38:55.472
晶彩双效双头阴影卧蚕笔眼妆勾勒防水持久不晕染提亮阴影二合一,9.9,40.00%,3.96,已售：13.5万,结束：2023-09-30,6787,,添意美妆专营店,4.71,4.97,,2023-04-18 21:38:55.542
热喷美容蒸脸器喷雾补水仪吸收仪器家用喷雾机热喷保湿滋润美容仪,69,20.00%,13.8,已售：3.6万,结束：2023-06-30,1774,,康佳小店,4.7,4.82,,2023-04-18 21:38:55.616
【美白+防晒+隔离三合一】防晒霜SPF50PA+++美白防晒防水防紫外线,39.9,47.00%,18.75,已售：1.8万,结束：2026-02-06,2484,,搏盈美妆专营店,4.85,4.9,,2023-04-18 21:38:55.695
【宠粉福利】海茴香隔离防晒乳二合一防紫外线spf50倍防水防汗,39.9,40.00%,15.96,已售：6.3万,结束：2024-02-18,1698,,沃杨严选好物,4.95,4.69,,2023-04-18 21:38:55.774
PUCO白日梦液体眼影超闪亮片细闪防水高光一体提亮珠光爆闪修饰,29,30.00%,8.7,已售：14.3万,结束：2024-07-01,3738,,PUCO旗舰店,4.88,4.9,,2023-04-18 21:38:55.854
高倍水感清爽滋润防晒乳SPF50PA++++隔离持久不假白面部防紫外线,39.9,40.00%,15.96,已售：1.0万,结束：2024-04-25,5722,,MEKINE美姿媛旗舰店,4.99,4.86,,2023-04-18 21:38:55.931
【送收纳盒】沁诺大号100分棉花糖气垫粉扑女化妆粉底液专用超软,6.6,55.00%,3.63,已售：4.1万,结束：2023-06-30,,,甄选美妆专营店,4.76,4.99,,2023-04-18 21:38:56.013
 【新品上市】INTO YOU融点口红镜面固体嘟嘟唇透明唇蜜高亮显白,64,30.00%,19.2,已售：2.2万,结束：2023-05-31,1109,,INTOYOU官方旗舰店,4.84,4.82,,2023-04-18 21:38:56.096
【只卖正品】虾青素熬夜填充安瓶抗氧亮肤保湿精华液10支*3盒,29.9,35.00%,10.46,已售：5.6万,结束：2023-08-31,2089,,俏芭莎旗舰店,4.97,4.97,,2023-04-18 21:38:56.195
逆龄摩登时代8支眼影刷晕染软毛化妆刷套装眼部刷细节刷沧州刷子,39,28.00%,10.92,已售：30.0万,结束：2023-12-31,2217,,逆龄官方旗舰店,4.97,4.99,,2023-04-18 21:38:56.287
【官方正品】HEMI赫秘眉膏 自然持久不脱色 顺滑一笔多用不晕染,29.9,47.00%,14.05,已售：21.5万,结束：2023-11-07,1540,,Hemi赫秘旗舰店,4.01,4.93,,2023-04-18 21:38:56.382
官方旗舰店高光眼影笔卧蚕提亮细闪珠光笔懒人眼妆笔双头遮瑕笔,19.99,53.00%,10.59,已售：18.1万,结束：2023-06-09,,,XzMyQ化妆品旗舰店,4.33,4.98,,2023-04-18 21:38:56.480
【品牌主推】INTO YOU甜漾唇蜜水光口红糖浆唇蜜唇彩镜面新手平价,49,33.00%,16.17,已售：18.1万,结束：2023-12-31,1319,,INTOYOU官方旗舰店,4.84,4.82,,2023-04-18 21:38:56.590
CEMOY澳诗茉白池花肌底精华油修护肌肤屏障角鲨烷以油养肤养护   ,288,30.00%,86.4,已售：1.4万,结束：2023-06-01,,,CEMOY护肤旗舰店,4.99,4.98,,2023-04-18 21:38:56.692
【试用不喜欢包退】高缇雅防脱洗发水生姜控油去屑洗发水护发素,39.9,40.00%,15.96,已售：65.1万,结束：2023-06-30,1981,,一泉美妆,4.87,4.99,,2023-04-18 21:38:56.790
【拍一发二】梦希蓝野菜焕颜精华清洁膏（保湿  清洁 牛油果）,19.9,41.00%,8.16,已售：4.2万,结束：2023-06-30,7217,,林小丫护肤,4.98,4.91,,2023-04-18 21:38:56.893
【防晒+隔离+美白三合一】零系SPF50+防晒防汗防紫外线清爽防晒霜,49.9,30.00%,14.97,已售：2.7万,结束：2023-07-01,3271,,零系LEOERMXEY护肤旗舰店,4.97,4.71,,2023-04-18 21:38:57.004
视黄醇御龄龙血膏贵妇素颜膏养颜通用成人美容修饰大容量,8.6,40.00%,3.44,已售：4.0万,结束：2025-04-09,,,小胖胖美妆,4,4.66,,2023-04-18 21:39:09.535
朵小棉加大加厚一次性洗脸巾纯棉柔巾美容院擦脸洁面母婴儿抽取式,29.9,20.00%,5.98,已售：8.6万,结束：2023-12-09,5088,,朵小棉洗脸巾个体店,4.98,4.82,,2023-04-18 21:39:09.624
FOMIX珠光单色眼影防水防汗网红爆款紫色眼影盘懒人细闪一抹成型,29.9,40.00%,11.96,已售：2.1万,结束：2023-05-31,,,文文美妆,4.81,3.6,,2023-04-18 21:39:09.701
Nicor按摩头氨基酸洗面奶温和深层清洁收毛孔控油清肌保湿洁面乳,9.9,50.00%,4.95,已售：13.2万,结束：2023-06-30,7754,,蘑菇格格美妆店,4.76,4.97,,2023-04-18 21:39:09.770
【蜡黄脸必入】春娟黄芪霜30g国货面霜老牌保湿补水滋润中干黄皮,39.8,42.00%,16.72,已售：18.9万,结束：2023-05-31,2098,,春娟官方旗舰店,4.91,4.91,,2023-04-18 21:39:09.857
【启邦】蒸脸器美容蒸脸仪喷雾补水仪 热喷美容仪加湿蒸脸仪家用,69.9,26.00%,18.17,已售：11.7万,结束：2024-01-31,1062,,星辉优选,4.59,4.76,,2023-04-18 21:39:09.938
稚优泉七色眼影盘眼部彩妆哑光高光大地色提亮多色多功能全脸,59.9,25.00%,14.98,已售：6.7万,结束：2025-07-31,2297,,稚优泉官方旗舰店,4.7,4.89,,2023-04-18 21:39:10.013
正品雪玲妃500g大瓶氨基酸洁面奶乳补水控油深层清洁洗面奶大容量,39.9,52.00%,20.75,已售：17.3万,结束：2023-05-19,1096,,幕馨护肤美妆,4.88,4.43,,2023-04-18 21:39:10.088
【直播专享】佩冉睫毛膏piara纤长浓密卷翘防水速干持久不易晕染,39,35.00%,13.65,已售：8.2万,结束：2023-05-31,2678,,PIARA佩冉旗舰店,4.86,4.92,,2023-04-18 21:39:10.164
everbab艾蓓拉一飞冲天睫毛夹卷翘便携式贴合卷翘器彩妆翘睫毛,25,25.00%,6.25,已售：18.1万,结束：2023-12-31,4282,,EVERBAB艾蓓拉美妆旗舰店,4.86,4.14,,2023-04-18 21:39:10.246
【主播推荐】可贝尔COBOR绿藻淡纹抗皱弹润贴膜眼部保养柔嫩细腻,99,40.00%,39.6,已售：1.8万,结束：2024-04-20,500,,可贝尔COBOR护肤旗舰店,4.64,4.98,,2023-04-18 21:39:10.337
倾龄黄芪霜70g 补水保湿滋润面霜滋养修护护肤品,9.9,42.00%,4.16,已售：16.2万,结束：2025-03-31,7939,,欧朵严选,4.84,4.9,,2023-04-18 21:39:10.436
【黄圣依推荐明星同款】丝菲兰斯密罗木祛痘啫喱小绿瓶专攻油痘肌,1080,25.00%,270,已售：1309,结束：2023-09-16,,,丝菲兰斯美妆旗舰店,4.42,4.97,,2023-04-18 21:39:10.536
花西子 花露凝萃卸妆湿巾温和不刺激新手脸部深层清洁一次性单片,49,20.00%,9.8,已售：50.5万,结束：2023-06-30,3201,,花西子官方旗舰店,4.88,4.99,,2023-04-18 21:39:10.627
【主播推荐 】胡萝卜素温感变色唇膏滋润千人千色口红不易脱色,29.9,40.00%,11.96,已售：21.9万,结束：2023-12-31,1700,,三角形美妆专营店,4.94,4.96,,2023-04-18 21:39:10.723
OUTOFOFFICE双头修容笔立体修饰唇型立体塑形缩短人中笔神器,49,30.00%,14.7,已售：5.9万,结束：2023-07-01,2030,,OUT-OF-OFFICE官方旗舰店,4.97,4.92,,2023-04-18 21:39:10.831
【AKF旗舰店】眼线胶笔新手推荐防水防汗不晕染丝柔持妆眼线笔,29.9,25.00%,7.48,已售：6.1万,结束：2023-11-30,3671,,AKF美妆旗舰店,4.7,4.99,,2023-04-18 21:39:10.927
【面霜+素颜霜 二合一】日夜可用遮瑕控油滋润保湿防水汗无需卸妆,39.9,43.00%,17.16,已售：7.8万,结束：2025-01-10,6328,,搏盈美妆专营店,4.85,4.9,,2023-04-18 21:39:11.022
佩兰诗骆驼奶水乳套盒赋活沙漠肌深润熬夜修护补水保湿嫩肤两件套,29.8,45.00%,13.41,已售：13.8万,结束：2023-12-30,,,深圳市宝安区维澜雅化妆品商行的小店,4.9,4.95,,2023-04-18 21:39:11.114
【达人专享】Mistine小黄帽防晒霜40ml SPF50+ PA+++防紫外线学生,59,25.00%,14.75,已售：2.8万,结束：2024-05-31,2156,,MISTINE蜜丝婷官方旗舰店,4.88,4.98,,2023-04-18 21:39:11.212
AKF唇泥平价雾面哑光丝绒口红黄皮显白持久学生推荐素颜唇釉柔雾,39,25.00%,9.75,已售：2.4万,结束：2023-06-30,1872,,AKF美妆旗舰店,4.7,4.99,,2023-04-18 21:39:11.313
unny防晒霜清爽补水保湿隔离防晒乳官方旗舰店正品防紫外线学生党,59,30.00%,17.7,已售：8.0万,结束：2023-07-01,1747,,UNNY CLUB护肤旗舰店,4.98,4.96,,2023-04-18 21:39:11.406
【9.9/3支 】正品xixi眼线液笔彩色防水防汗持久不晕染初学者极细,9.9,42.00%,4.16,已售：106.2万,结束：2023-06-30,5422,,蘑菇格格美妆店,4.76,4.97,,2023-04-18 21:39:11.492
